,GENE,LENGTH,Total_Introns,Intron_Position,Repeat_Percentage,Repeat_Types,GC_Content,phylop_mean,PIR_Nuc_baseline,TPM_Nuc_baseline,TPM_Cyt_baseline,Nuclear_Enrichment,hl_gated_gwise,hl_gated_intwise,hl_gated_intwise_scaled,hl_gated_intwise_scaled_logged,stability,CpG_total,CpG_methylated_perc,Speckle_Enrichment,ssDRIP_peaks,ssDRIP_qValue,ssDRIP_cov,UMAP1_HLrev,UMAP2_HLrev,class_hls
HsaINT0103023,MIIP,483,9.0,6.0,6.625258799171843,Simple_repeat,66.66667,-0.3600892095427566,90.765,221.83,34.195,2.6975971924138484,5.635,6.98,1.23868677905945,0.0929615022410358,Stable_4h,22,96.1904761904762,3.04277067350855,0,,0.2903655285387969,8.948918,10.000579,LL-RIs
HsaINT0103052,MINK1,441,31.0,24.0,39.00226757369615,"SINE/MIR, Simple_repeat",57.59637,-0.3690409081419189,35.095,309.285,29.29,3.400456767588777,12.0,12.0,1.0,0.0,Stable_4h,4,100.0,2.19595527896371,441,3.28421,0.3536428129266541,8.530367,7.9617577,LL-RIs
HsaINT0103051,MINK1,213,31.0,23.0,0.0,,68.5446,-0.1149811317072302,39.755,309.285,29.29,3.400456767588777,12.0,7.913,0.6594166666666667,-0.1808400803201156,Stable_4h,21,91.41104294478528,2.19595527896371,213,3.28421,0.5897162002992686,8.39107,10.3357115,LL-RIs
HsaINT1023117,MKL2,1418,16.0,12.0,26.304654442877293,"DNA/hAT-Charlie, SINE/MIR",41.81946,-0.1827155970680759,32.21,30.285,6.28,2.2697669471610022,11.104,12.0,1.080691642651297,0.0337017929368451,Stable_4h,38,96.37305699481864,,0,,0.2830964670929607,11.4092865,5.6587048,LL-RIs
HsaINT0103655,MLLT1,4079,11.0,6.0,3.6038244667810737,SINE/MIR,63.22628,-0.963417115208591,78.93,157.76,31.36,2.3307339922627035,8.709,12.0,1.3778849466069585,0.1392129554962887,Stable_4h,244,88.4297520661157,0.488314822170339,4079,24.5449,0.1880216866513154,7.8738694,8.924689,LL-RIs
HsaINT0103657,MLLT1,2366,11.0,8.0,7.523245984784446,"SINE/MIR, Simple_repeat",65.34235,-1.16173911283534,59.25,157.76,31.36,2.3307339922627035,8.709,12.0,1.3778849466069585,0.1392129554962887,Stable_4h,186,95.0,0.488314822170339,2366,24.5449,0.3180172177159877,8.47925,10.744464,LL-RIs
HsaINT0103743,MLLT6,538,19.0,9.0,42.75092936802974,SINE/MIR,53.15985,-0.1394953439454418,91.995,291.315,9.655,4.915159919301448,12.0,12.0,1.0,0.0,Stable_4h,18,80.21978021978022,,0,,0.7043167342811065,7.8701115,8.115149,LL-RIs
HsaINT0103805,MLXIPL,312,16.0,4.0,0.0,,65.38462,-0.1992990344671466,63.48,51.48,1.48,5.120342972591752,12.0,12.0,1.0,0.0,Stable_4h,34,5.357142857142857,3.21127471775454,0,,1.3666157511364017,7.7390456,10.044552,LL-RIs
HsaINT1023206,MMP23B,76,7.0,5.0,0.0,,73.68421,-0.0336933386201659,42.15,58.475,2.965,4.301715946693786,11.536,9.712,0.841886269070735,-0.0747465736441714,Stable_4h,5,66.66666666666667,,0,,0.8598344411331151,3.52708,9.688275,LL-RIs
HsaINT1023207,MMP23B,102,7.0,6.0,0.0,,73.52941,-0.5175148449252627,49.445,58.475,2.965,4.301715946693786,11.536,10.198,0.8840152565880722,-0.0535402397438989,Stable_4h,4,0.0,,0,,1.1494609795898836,4.73027,8.948084,LL-RIs
HsaINT1023204,MMP23B,67,7.0,3.0,76.11940298507463,Simple_repeat,88.0597,0.2132727313913743,51.08,58.475,2.965,4.301715946693786,11.536,12.0,1.0402219140083218,0.017125998672271,Stable_4h,0,,,0,,1.1124435323158666,3.254461,9.440746,LL-RIs
HsaINT1023205,MMP23B,392,7.0,4.0,0.0,,72.70408,-0.3011457779345905,94.11,58.475,2.965,4.301715946693786,11.536,12.0,1.0402219140083218,0.017125998672271,Stable_4h,0,,,0,,0.2571409591851769,7.2748623,10.173639,LL-RIs
HsaINT0104036,MMP25,6486,9.0,4.0,39.34628430465618,"LINE/L2, LTR/ERVL, Low_complexity, SINE/Alu, SINE/MIR, Simple_repeat",54.8412,-0.3242242100731697,50.125,53.48,38.095,0.489397810194847,12.0,11.122,0.9268333333333332,-0.0329983553067433,Stable_4h,221,80.87080656673804,,0,,1.1528957644424644,13.643279,6.745831,LL-RIs
HsaINT0104271,MOGS,1109,3.0,2.0,73.57980162308385,"SINE/Alu, SINE/MIR",50.40577,0.2249765339149254,34.485,170.355,41.96,2.0214577088111603,3.986,12.0,3.0105368790767684,0.478643951683156,Stable_4h,68,93.18801089918256,2.49005468901244,0,,0.6606614903559864,8.558195,5.9842315,LL-RIs
HsaINT0104631,MPHOSPH8,1704,13.0,11.0,25.997652582159624,SINE/Alu,47.5939,-0.1916629476886307,54.045,48.18,24.855,0.9548982902958628,12.0,12.0,1.0,0.0,Stable_4h,52,91.51193633952256,0.267436610923861,1704,17.684,0.7845411552502338,10.425797,6.498706,LL-RIs
HsaINT0104862,MPST,4405,2.0,2.0,55.98183881952327,"DNA/TcMar-Mariner, LINE/L2, SINE/Alu, SINE/MIR, Simple_repeat",51.10102,-0.1729697999133393,47.225,51.85,53.28,-0.0392500933706741,12.0,12.0,1.0,0.0,Stable_4h,128,90.92039800995023,0.537369561177929,0,,0.604129504146536,7.716511,7.345097,LL-RIs
HsaINT1023403,MROH1,416,41.0,18.0,0.0,,68.50962,-0.5824843338241869,59.015,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,28,94.57831325301204,2.39717676356119,0,,0.2470839205863666,8.094886,9.682033,LL-RIs
HsaINT1023402,MROH1,345,41.0,17.0,0.0,,63.18841,-0.5621947639724673,66.81,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,16,98.36065573770492,2.39717676356119,0,,0.4909923691740863,9.92243,9.208392,LL-RIs
HsaINT1023418,MROH1,3071,41.0,33.0,0.0,,64.40899,-1.0171785023071764,67.465,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,177,90.54054054054056,2.39717676356119,0,,0.2208278761734334,9.82729,8.503266,LL-RIs
HsaINT1023426,MROH1,305,41.0,41.0,0.0,,57.04918,0.8834605165021984,64.175,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,24,91.17647058823528,2.39717676356119,0,,0.5919818159964814,8.381158,8.3052435,LL-RIs
HsaINT1023425,MROH1,67,41.0,40.0,0.0,,74.62687,-1.3256818286961678,43.505,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,4,91.66666666666669,2.39717676356119,0,,1.2695027605149454,3.2806418,9.359988,LL-RIs
HsaINT1023422,MROH1,302,41.0,37.0,9.933774834437086,Simple_repeat,67.88079,-0.8587375388100149,86.21,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,18,97.6470588235294,2.39717676356119,0,,0.5981196408627532,7.5928226,9.453414,LL-RIs
HsaINT1023424,MROH1,72,41.0,39.0,63.888888888888886,Low_complexity,79.16667,-0.1360000027196062,61.77,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,4,84.21052631578948,2.39717676356119,0,,1.3396926439344277,3.332429,9.348059,LL-RIs
HsaINT1023423,MROH1,74,41.0,38.0,0.0,,64.86486,-0.5915479454888056,63.74,64.535,2.92,4.466041531765622,12.0,12.0,1.0,0.0,Stable_4h,2,92.3076923076923,2.39717676356119,0,,1.1861860555875277,3.5569246,8.924293,LL-RIs
HsaINT0105146,MRPL38,438,8.0,4.0,0.0,,53.88128,-0.3076132714763833,73.75,107.335,54.885,0.9676367680309228,9.15,9.564,1.0452459016393445,0.0192184733772889,Stable_4h,9,93.5483870967742,,438,11.0555,0.3536648922786266,9.72426,8.641012,LL-RIs
HsaINT0105148,MRPL38,1307,8.0,6.0,31.36954858454476,"SINE/Alu, SINE/MIR",57.45983,-0.1989218992327131,51.78,107.335,54.885,0.9676367680309228,9.15,12.0,1.3114754098360657,0.1177601519811765,Stable_4h,63,95.66787003610108,,1307,11.0555,0.5089719009797502,9.142739,8.702794,LL-RIs
HsaINT1023520,MRPS2,518,4.0,1.0,0.0,,65.05792,-0.6873694375392438,100.0,92.205,93.52,-0.0204299440780972,3.371,12.0,3.5597745476119846,0.551422493526653,Stable_4h,68,1.5810276679841897,,0,,0.533522006373411,7.4426622,10.129372,LL-RIs
HsaINT0105331,MRPS34,90,2.0,2.0,0.0,,62.22222,-0.2068427032738756,65.585,365.35,245.175,0.5754673295166728,12.0,10.182,0.8485,-0.0713481533463053,Stable_4h,18,1.2658227848101269,-0.398115570133391,0,,1.5400239315597777,3.8320901,9.537775,LL-RIs
HsaINT1023631,MST1,127,16.0,14.0,0.0,,56.69291,0.2933888914348144,68.4,69.56,1.555,5.4832714471759845,6.723,12.0,1.78491744756805,0.2516181347929012,Stable_4h,0,,3.60689910842928,0,,1.6739014630497735,5.6668386,7.672122,LL-RIs
HsaINT1023641,MST1,99,16.0,9.0,0.0,,72.72727,-0.0459591873876313,96.19,69.56,1.555,5.4832714471759845,6.723,12.0,1.78491744756805,0.2516181347929012,Stable_4h,14,64.81481481481481,3.60689910842928,0,,1.9339138184663165,4.1440783,9.772812,LL-RIs
HsaINT1023630,MST1,172,16.0,13.0,0.0,,56.97674,0.0449298239443777,83.51,69.56,1.555,5.4832714471759845,6.723,6.874,1.0224602112152312,0.0096464165464828,Stable_4h,0,,3.60689910842928,0,,1.4358422430078726,9.537901,8.209339,LL-RIs
HsaINT0105734,MST1R,87,19.0,10.0,0.0,,57.47126,0.0550348842408248,68.01,16.42,1.305,3.65333241520792,4.208,6.246,1.4843155893536122,0.1715262487484971,Stable_4h,0,,,0,,1.9509935819354784,4.548179,8.528731,LL-RIs
HsaINT0105735,MST1R,80,19.0,11.0,0.0,,68.75,0.3453797497138192,49.26,16.42,1.305,3.65333241520792,4.208,12.0,2.8517110266159693,0.4551055149019422,Stable_4h,2,100.0,,0,,1.736024216699821,3.8613434,8.126047,LL-RIs
HsaINT1023652,MSTO1,155,13.0,6.0,0.0,,54.19355,-0.2868960973588967,68.665,250.17,42.8,2.5472260923761465,3.472,7.281,2.0970622119815667,0.3216113145471428,Stable_4h,0,,,155,55.3965,2.1378960030499785,10.954908,7.582132,LL-RIs
HsaINT1023653,MSTO1,81,13.0,7.0,0.0,,54.32099,-0.3827250020462088,39.25,250.17,42.8,2.5472260923761465,3.472,12.0,3.456221198156682,0.5386015295431705,Stable_4h,3,100.0,,81,55.3965,3.021749881490316,3.8288429,8.606685,LL-RIs
HsaINT0106009,MTG1,558,10.0,7.0,10.57347670250896,SINE/MIR,62.00717,-0.478944343743809,88.995,290.735,63.46,2.1957853337435296,11.396,10.118,0.8878553878553879,-0.0516577654948907,Stable_4h,32,87.73584905660377,2.41756055083916,0,,0.4723219778126724,7.9080486,8.421927,LL-RIs
HsaINT0106185,MTMR11,305,16.0,15.0,0.0,,49.5082,0.1226546055599771,73.795,23.45,1.585,3.887033177263332,6.305,5.498,0.8720063441712927,-0.0594803554016507,Stable_4h,2,93.33333333333331,,0,,1.443025811375507,11.472008,8.216404,LL-RIs
HsaINT0106275,MTMR4,290,18.0,12.0,0.0,,46.89655,0.1438166102665157,63.7,76.135,15.04,2.339755260146722,5.49,11.833,2.1553734061930783,0.333522520065654,Stable_4h,2,78.57142857142857,1.83386183378347,0,,0.8483741860071559,10.952483,6.3784966,LL-RIs
HsaINT0106307,MTMR7,1929,13.0,13.0,46.65629860031104,"LINE/L1, LINE/L2, SINE/MIR",35.97719,0.1168978212876955,69.14,13.485,5.495,1.2951641352863723,12.0,6.609,0.55075,-0.2590454941771948,Stable_4h,16,90.08264462809916,,0,,1.072498871460123,11.52494,3.4920108,LL-RIs
HsaINT1023705,MTRF1,585,2.0,2.0,60.51282051282051,"LINE/L1, SINE/Alu",39.1453,-0.0031027401692221,80.645,21.895,4.245,2.3667649908996125,4.575,9.715,2.123497267759563,0.3270517065333342,Stable_4h,26,85.12396694214875,0.992483154299897,0,,1.2754949423392956,13.974268,5.031214,LL-RIs
HsaINT0106458,MTRF1,1003,2.0,1.0,14.057826520438685,"LINE/L1, SINE/Alu",39.58126,0.0049950096039603,91.66,21.895,4.245,2.3667649908996125,4.575,10.122,2.2124590163934426,0.3448752345703018,Stable_4h,24,16.847826086956523,0.992483154299897,0,,0.7834700261089892,11.294195,5.2092776,LL-RIs
HsaINT0107090,MXRA8,218,9.0,9.0,0.0,,68.80734,-0.3115622112366547,75.435,48.685,4.835,3.3318895471230023,4.623,12.0,2.5957170668397143,0.414257352609543,Stable_4h,18,0.0,3.41815202478909,0,,0.3601099935194857,8.019941,9.568748,LL-RIs
HsaINT0107086,MXRA8,172,9.0,5.0,0.0,,77.32558,-0.4336842155323652,72.515,48.685,4.835,3.3318895471230023,4.623,12.0,2.5957170668397143,0.414257352609543,Stable_4h,38,3.597122302158273,3.41815202478909,0,,0.7840837211607764,6.788129,10.193399,LL-RIs
HsaINT0107084,MXRA8,104,9.0,3.0,62.5,Simple_repeat,82.69231,-0.4496504842276567,77.03,48.685,4.835,3.3318895471230023,4.623,12.0,2.5957170668397143,0.414257352609543,Stable_4h,15,5.617977528089888,3.41815202478909,0,,0.5360499190793502,5.103053,9.825729,LL-RIs
HsaINT0107089,MXRA8,101,9.0,8.0,0.0,,70.29703,-0.0372500024363398,57.11,48.685,4.835,3.3318895471230023,4.623,12.0,2.5957170668397143,0.414257352609543,Stable_4h,12,1.2658227848101269,3.41815202478909,0,,0.5494197034755067,4.710396,7.853505,LL-RIs
HsaINT0107088,MXRA8,86,9.0,7.0,0.0,,72.09302,0.0264941154595683,52.45,48.685,4.835,3.3318895471230023,4.623,12.0,2.5957170668397143,0.414257352609543,Stable_4h,2,0.0,3.41815202478909,0,,0.6278780644135742,4.082047,9.757094,LL-RIs
HsaINT0107087,MXRA8,121,9.0,6.0,0.0,,71.07438,-0.4329249967976162,85.525,48.685,4.835,3.3318895471230023,4.623,12.0,2.5957170668397143,0.414257352609543,Stable_4h,10,4.109589041095891,3.41815202478909,0,,0.6004050053394845,5.4240685,9.310814,LL-RIs
HsaINT0108037,MYL5,628,6.0,1.0,25.318471337579616,Simple_repeat,62.42038,-0.7683684191060516,38.375,172.36,2.865,5.910746054353478,5.68,12.0,2.1126760563380285,0.324832910336606,Stable_4h,46,85.18518518518519,,0,,0.2881944909450112,9.674486,9.063807,LL-RIs
HsaINT0108447,MYO19,447,21.0,12.0,58.38926174496644,SINE/MIR,51.23043,0.0006210751864942,48.285,259.53,28.51,3.186361370108472,10.396,12.0,1.1542901115813773,0.0623149752186497,Stable_4h,6,92.3076923076923,,0,,0.8959120261360356,10.186658,8.265552,LL-RIs
HsaINT1024326,MYO9B,108,39.0,39.0,0.0,,62.96296,0.8177009347356229,92.24,87.22,22.64,1.945785032249724,12.0,6.756,0.5630000000000001,-0.2494916051486537,Stable_4h,10,98.4375,0.936614260961099,0,,1.1964909802367694,5.010257,8.951563,LL-RIs
HsaINT0109043,MYO9B,996,39.0,16.0,28.41365461847389,LTR/ERVL,54.11647,-0.2910613054261032,51.76,87.22,22.64,1.945785032249724,12.0,11.515,0.9595833333333332,-0.0179173037473748,Stable_4h,52,95.73170731707316,0.936614260961099,0,,0.4861237170603666,8.339719,6.7637234,LL-RIs
HsaINT0109280,MYOZ3,431,6.0,5.0,8.816705336426914,Low_complexity,68.90951,-0.4710883761398754,79.015,16.87,11.37,0.569227719395318,3.162,12.0,3.79506641366224,0.5792193804514346,Stable_4h,59,2.849740932642487,,0,,0.5513845585410875,7.007092,10.032767,LL-RIs
HsaINT0109281,MYOZ3,4204,6.0,6.0,57.49286393910561,"LINE/CR1, LINE/L1, SINE/Alu, SINE/MIR, Simple_repeat",51.28449,-0.0018355544913725,54.255,16.87,11.37,0.569227719395318,3.162,7.317,2.31404174573055,0.3643711894372028,Stable_4h,175,73.33880229696473,,0,,0.5580044758463586,12.768279,7.0664535,LL-RIs
HsaINT0109442,MZF1,466,5.0,2.0,0.0,,60.08584,-0.4578000015223659,84.04,78.44,5.41,3.8578890363653335,12.0,9.695,0.8079166666666667,-0.0926334326329006,Stable_4h,14,93.33333333333331,2.60003247050955,0,,0.3417385312158451,9.770247,8.3501625,LL-RIs
HsaINT0109445,MZF1,5772,5.0,5.0,67.37699237699238,"LINE/L1, LINE/L2, Low_complexity, SINE/Alu, Simple_repeat",48.99515,-0.1281214684837692,89.71,78.44,5.41,3.8578890363653335,12.0,12.0,1.0,0.0,Stable_4h,201,92.03980099502488,2.60003247050955,0,,1.054881446063586,8.411647,7.3211994,LL-RIs
HsaINT0093005,MZF1-AS1,622,5.0,4.0,2.733118971061093,SINE/Alu,55.46624,-0.3439436380343884,100.0,14.33,1.1,3.703463180737486,11.633,12.0,1.0315481818963297,0.0134895179543539,Stable_4h,24,82.4,,0,,1.0254705967059756,8.479594,7.0857377,LL-RIs
HsaINT1024354,MZF1-AS1,1400,5.0,3.0,12.5,SINE/Alu,59.42857,-0.1816983557640081,100.0,14.33,1.1,3.703463180737486,11.633,12.0,1.0315481818963297,0.0134895179543539,Stable_4h,68,93.07692307692308,,0,,0.3511725202380346,13.045864,6.708883,LL-RIs
HsaINT0109725,NADK,675,13.0,9.0,43.7037037037037,SINE/Alu,53.03704,-0.2104035606184623,66.32,186.7,32.44,2.524876202896291,7.522,12.0,1.5953203935123637,0.2028479169612445,Stable_4h,35,94.71698113207547,1.66586339215213,0,,0.6709444647809404,12.575646,6.718975,LL-RIs
HsaINT0109724,NADK,781,13.0,8.0,0.0,,67.09347,-0.6316923064475234,69.875,186.7,32.44,2.524876202896291,7.522,12.0,1.5953203935123637,0.2028479169612445,Stable_4h,65,92.21183800623054,1.66586339215213,0,,0.5001622406934636,8.349198,8.816639,LL-RIs
HsaINT0109795,NAGLU,742,5.0,1.0,16.711590296495956,SINE/MIR,62.39892,-0.4063900122329449,84.75,52.11,15.795,1.722092317684676,6.094,12.0,1.9691499835904167,0.29427879616097,Stable_4h,64,13.924050632911392,,0,,0.4143233026105389,7.7461367,9.562368,LL-RIs
HsaINT0109972,NAPRT,269,11.0,7.0,0.0,,63.94052,-0.4955186608400362,71.705,137.05,11.295,3.600946152320053,5.653,8.019,1.4185388289403855,0.151841228016081,Stable_4h,18,93.1818181818182,,0,,0.2282434034511392,10.7386265,9.287877,LL-RIs
HsaINT0109963,NAPRT,149,11.0,1.0,0.0,,69.12752,-0.3820675725905489,62.195,137.05,11.295,3.600946152320053,5.653,9.916,1.7541128604280916,0.2440575326356652,Stable_4h,21,95.50561797752808,,0,,0.1408225342667943,6.3297715,9.439704,LL-RIs
HsaINT0110126,NAT8L,1110,2.0,1.0,19.36936936936937,"SINE/MIR, Simple_repeat",74.32432,-0.6122407591769453,86.16,50.445,13.6,1.8911046281100372,8.486,12.0,1.4140938015555031,0.1504782186170277,Stable_4h,129,19.08831908831909,0.678171254957002,0,,0.0969809014244714,6.9955144,10.612371,LL-RIs
HsaINT0110132,NAT9,163,6.0,5.0,0.0,,60.1227,-0.1252469142732199,89.025,161.655,20.685,2.9662612681228624,5.505,5.483,0.9960036330608536,-0.0017390774242896,Stable_4h,6,90.0,2.89177850864581,0,,1.092010090534293,10.656957,8.806609,LL-RIs
HsaINT0110444,NBEAL2,174,53.0,47.0,0.0,,60.91954,0.1467456659463616,42.775,264.06,12.26,4.428834893424921,12.0,6.23,0.5191666666666667,-0.2846931993884552,Stable_4h,2,91.66666666666669,3.72209429686981,0,,0.7790792521680803,9.278674,8.48424,LL-RIs
HsaINT0110442,NBEAL2,616,53.0,45.0,18.01948051948052,SINE/MIR,49.83766,-0.0986520314986658,48.0,264.06,12.26,4.428834893424921,12.0,6.475,0.5395833333333333,-0.2679414732943354,Stable_4h,6,96.0,3.72209429686981,0,,0.4338257043708421,10.19698,7.0841193,LL-RIs
HsaINT0110452,NBEAL2,1625,53.0,6.0,5.1692307692307695,SINE/MIR,57.41538,-0.0739248762513812,44.68,264.06,12.26,4.428834893424921,12.0,12.0,1.0,0.0,Stable_4h,29,79.72972972972973,3.72209429686981,0,,0.3930681196601624,7.972878,7.1786823,LL-RIs
HsaINT0110433,NBEAL2,101,53.0,37.0,0.0,,63.36634,0.144279992878437,63.505,264.06,12.26,4.428834893424921,12.0,12.0,1.0,0.0,Stable_4h,4,93.10344827586206,3.72209429686981,0,,1.2573068181084075,4.76728,8.589796,LL-RIs
HsaINT1024546,NCAPH2,1644,19.0,9.0,55.83941605839416,SINE/Alu,53.16302,-0.1729738287020041,53.965,220.54,46.615,2.242174173349996,12.0,8.175,0.68125,-0.1666934847153011,Stable_4h,86,94.17040358744394,2.48283801218236,0,,0.6844827160325083,12.88335,7.010485,LL-RIs
HsaINT0111183,NCLN,2625,14.0,5.0,52.91428571428571,"DNA/hAT-Charlie, LINE/L1, LTR/ERVL, SINE/Alu",58.85714,-0.3046855935427607,51.03,237.605,82.65,1.523478470933141,12.0,12.0,1.0,0.0,Stable_4h,199,95.02347417840376,1.65553399164845,2625,1.73157,0.665263650887765,8.362301,10.462899,LL-RIs
HsaINT0111666,NCSTN,286,16.0,15.0,12.937062937062937,tRNA,53.4965,0.2327017538805018,80.025,99.835,72.2,0.4675468449258924,11.727,12.0,1.0232796111537477,0.0099943208957152,Stable_4h,6,93.93939393939394,,0,,1.3291688886648765,11.461155,8.31781,LL-RIs
HsaINT0111729,NDOR1,83,13.0,13.0,0.0,,68.6747,-0.3220243925830667,51.63,295.48,19.025,3.957092123922415,4.732,7.189,1.5192307692307692,0.1816237476556422,Stable_4h,6,84.0,2.61411136435201,0,,0.4595893413946857,3.6716769,9.006715,LL-RIs
HsaINT0111731,NDOR1,1180,13.0,3.0,0.0,,63.13559,-0.8284775213188547,63.04,295.48,19.025,3.957092123922415,4.732,5.885,1.2436601859678782,0.0947017312235607,Stable_4h,110,94.44444444444444,2.61411136435201,0,,0.1594855268403071,8.561195,10.3828,LL-RIs
HsaINT0111727,NDOR1,319,13.0,1.0,0.0,,57.99373,0.0871383608758168,45.87,295.48,19.025,3.957092123922415,4.732,5.114,1.08072696534235,0.0337159877344238,Stable_4h,35,3.587443946188341,2.61411136435201,0,,0.520716434385674,11.099821,8.362546,LL-RIs
HsaINT0111763,NDRG2,708,14.0,2.0,0.0,,53.53107,0.2458995750646174,35.985,47.295,16.08,1.5564202642255625,12.0,8.366,0.6971666666666666,-0.1566633858030134,Stable_4h,16,80.51948051948052,2.69276610652052,0,,0.6658697896955647,9.237048,8.246276,LL-RIs
HsaINT0111796,NDRG4,111,15.0,14.0,0.0,,56.75676,0.1250636269084432,71.69,37.68,7.995,2.236629026132451,12.0,12.0,1.0,0.0,Stable_4h,2,81.81818181818181,2.99552825927631,0,,1.5607660212336267,5.085579,8.559105,LL-RIs
HsaINT0111805,NDRG4,297,15.0,9.0,0.0,,62.62626,-0.651006757634113,74.55,37.68,7.995,2.236629026132451,12.0,12.0,1.0,0.0,Stable_4h,6,85.0,2.99552825927631,0,,0.7428118263094017,7.45965,8.363547,LL-RIs
HsaINT0111792,NDRG4,792,15.0,10.0,41.91919191919192,"LINE/L2, SINE/MIR",58.33333,-0.4456169402168524,82.29,37.68,7.995,2.236629026132451,12.0,12.0,1.0,0.0,Stable_4h,22,80.8,2.99552825927631,0,,0.3896556553722161,9.15344,8.4156885,LL-RIs
HsaINT0111795,NDRG4,144,15.0,13.0,0.0,,64.58333,0.0799999994118339,65.615,37.68,7.995,2.236629026132451,12.0,12.0,1.0,0.0,Stable_4h,0,,2.99552825927631,0,,1.3819472170352225,5.297615,9.779794,LL-RIs
HsaINT0112046,NDUFV1,195,9.0,6.0,0.0,,69.74359,0.0482216489347677,39.97,379.635,106.18,1.8381009594800175,12.0,7.532,0.6276666666666667,-0.2022709347029976,Stable_4h,10,89.47368421052632,2.77467342444093,0,,1.025745340766164,8.391909,10.967138,LL-RIs
HsaINT0112041,NDUFV1,1319,9.0,1.0,40.1819560272934,"SINE/Alu, SINE/MIR",55.72403,0.036439301802039,84.79,379.635,106.18,1.8381009594800175,12.0,12.0,1.0,0.0,Stable_4h,88,43.4010152284264,2.77467342444093,0,,0.7667701074707501,8.6642885,8.91028,LL-RIs
HsaINT0112309,NECAB3,224,8.0,2.0,0.0,,61.60714,-0.1065695062248378,95.34,103.415,6.16,4.069371297777239,9.925,12.0,1.2090680100755666,0.0824507306124721,Stable_4h,12,93.67088607594935,3.3202834996183,0,,1.075381959360648,9.029405,8.523201,LL-RIs
HsaINT0112441,NEIL1,383,9.0,6.0,0.0,,56.39687,-0.1079162313643701,85.89,73.76,1.45,5.668713850414404,5.936,12.0,2.0215633423180592,0.3056873537766542,Stable_4h,6,86.36363636363636,3.53865871629405,383,21.8362,1.0898335070430756,10.062309,8.089244,LL-RIs
HsaINT0112442,NEIL1,153,9.0,7.0,0.0,,56.20915,-0.097072370356488,95.005,73.76,1.45,5.668713850414404,5.936,12.0,2.0215633423180592,0.3056873537766542,Stable_4h,2,100.0,3.53865871629405,153,21.8362,1.9396348379467017,8.208597,7.8798647,LL-RIs
HsaINT0112439,NEIL1,214,9.0,4.0,0.0,,60.74766,-0.1333427228522159,63.925,73.76,1.45,5.668713850414404,5.936,12.0,2.0215633423180592,0.3056873537766542,Stable_4h,4,100.0,3.53865871629405,214,21.8362,1.4515540239282538,9.866536,10.309679,LL-RIs
HsaINT0112443,NEIL1,160,9.0,8.0,0.0,,66.25,-0.5193459114547432,76.175,73.76,1.45,5.668713850414404,5.936,10.35,1.743598382749326,0.2414464575219658,Stable_4h,6,87.5,3.53865871629405,160,21.8362,1.645337968394484,6.3515124,9.275238,LL-RIs
HsaINT0112440,NEIL1,1037,9.0,5.0,57.0877531340405,"SINE/Alu, Simple_repeat",51.30183,0.14664864997446,90.86,73.76,1.45,5.668713850414404,5.936,12.0,2.0215633423180592,0.3056873537766542,Stable_4h,27,90.05847953216374,3.53865871629405,1037,21.8362,1.3790959811228063,13.576704,6.836098,LL-RIs
HsaINT0112444,NEIL1,145,9.0,9.0,0.0,,57.93103,-0.3491597232035322,56.045,73.76,1.45,5.668713850414404,5.936,12.0,2.0215633423180592,0.3056873537766542,Stable_4h,4,94.44444444444444,3.53865871629405,145,21.8362,1.9591261811640772,9.709571,10.1373005,LL-RIs
HsaINT0112632,NEK8,82,14.0,6.0,0.0,,54.87805,-0.2951358028997977,54.355,94.63,9.9,3.2567971950141508,12.0,5.384,0.4486666666666667,-0.3480761948317044,Stable_4h,2,93.33333333333331,3.62608193839885,0,,1.7932866865700194,3.74156,8.478167,LL-RIs
HsaINT0112629,NEK8,235,14.0,3.0,0.0,,59.57447,0.1227179512343743,66.935,94.63,9.9,3.2567971950141508,12.0,12.0,1.0,0.0,Stable_4h,0,,3.62608193839885,0,,1.1252570018682326,7.897335,8.014454,LL-RIs
HsaINT0112631,NEK8,160,14.0,5.0,0.0,,63.75,0.0419119544877852,89.3,94.63,9.9,3.2567971950141508,12.0,12.0,1.0,0.0,Stable_4h,6,100.0,3.62608193839885,0,,1.1098611935835192,9.33974,9.308526,LL-RIs
HsaINT0112824,NEURL4,96,28.0,24.0,0.0,,66.66667,0.2454105252326515,65.59,267.6,19.885,3.750325648723612,12.0,9.644,0.8036666666666666,-0.0949240443422087,Stable_4h,0,,,0,,1.6355042874966954,4.777268,8.953233,LL-RIs
HsaINT0113037,NFATC4,458,9.0,5.0,5.240174672489083,Simple_repeat,55.8952,0.1282713337820757,72.555,76.03,3.58,4.408537298469852,8.649,5.133,0.5934790149150191,-0.2265946328471075,Stable_4h,4,74.07407407407408,,0,,0.8804654271989419,8.563495,6.930493,LL-RIs
